"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","14 Feb 2014","-","-","-","2346.19"
"NIFTY SMALLCAP 250","13 Feb 2014","","","","2345.50"
"NIFTY SMALLCAP 250","12 Feb 2014","-","-","-","2370.72"
"NIFTY SMALLCAP 250","11 Feb 2014","","","","2365.30"
"NIFTY SMALLCAP 250","10 Feb 2014","-","-","-","2356.44"
"NIFTY SMALLCAP 250","07 Feb 2014","","","","2358.60"
"NIFTY SMALLCAP 250","06 Feb 2014","-","-","-","2347.63"
"NIFTY SMALLCAP 250","05 Feb 2014","-","-","-","2353.10"
"NIFTY SMALLCAP 250","04 Feb 2014","-","-","-","2335.75"
"NIFTY SMALLCAP 250","03 Feb 2014","","","","2325.80"
"NIFTY SMALLCAP 250","31 Jan 2014","-","-","-","2340.32"
"NIFTY SMALLCAP 250","30 Jan 2014","-","-","-","2304.40"
"NIFTY SMALLCAP 250","29 Jan 2014","","","","2337.70"
"NIFTY SMALLCAP 250","28 Jan 2014","-","-","-","2340.84"
"NIFTY SMALLCAP 250","27 Jan 2014","-","-","-","2331.80"
"NIFTY SMALLCAP 250","24 Jan 2014","","","","2395.20"
"NIFTY SMALLCAP 250","23 Jan 2014","-","-","-","2440.04"
"NIFTY SMALLCAP 250","22 Jan 2014","","","","2450.00"
"NIFTY SMALLCAP 250","21 Jan 2014","-","-","-","2440.15"
"NIFTY SMALLCAP 250","20 Jan 2014","","","","2424.80"
"NIFTY SMALLCAP 250","17 Jan 2014","-","-","-","2403.11"
"NIFTY SMALLCAP 250","16 Jan 2014","","","","2449.20"
"NIFTY SMALLCAP 250","15 Jan 2014","-","-","-","2458.21"
"NIFTY SMALLCAP 250","14 Jan 2014","","","","2454.10"
"NIFTY SMALLCAP 250","13 Jan 2014","-","-","-","2456.72"
"NIFTY SMALLCAP 250","10 Jan 2014","","","","2452.80"
"NIFTY SMALLCAP 250","09 Jan 2014","-","-","-","2470.18"
"NIFTY SMALLCAP 250","08 Jan 2014","","","","2487.40"
"NIFTY SMALLCAP 250","07 Jan 2014","","","","2476.30"
"NIFTY SMALLCAP 250","06 Jan 2014","-","-","-","2475.40"
